departamento_etl,ciudad_etl_x,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,ciudad_etl_y,total_vehiculos,total_clases,total_servicios,log_total_vehiculos
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,girardota,22196,32,5,10.007712423593661
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,guarne,1336,13,3,7.198183577101943
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,itagui,192478,45,5,12.16774233585004
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,la ceja,31984,19,4,10.373022321884237
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,la estrella,194296,55,4,12.17714319520516
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,la union,15,1,1,2.772588722239781
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,marinilla,32773,37,4,10.39739079710617
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,medellin,413322,46,4,12.931984648600604
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,necocli,460,3,2,6.133398042996649
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,puerto berrio,17435,16,4,9.766292313358283
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,puerto triunfo,1781,11,4,7.485491608030754
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,rionegro,167586,36,5,12.029257898389293
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,sabaneta,762011,42,5,13.54371758257628
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,san jeronimo,109883,26,5,11.607180542895733
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,santa rosa de osos,21739,32,4,9.9869091606752
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,santafe de antioquia,22533,27,4,10.022780558724111
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,segovia,1705,8,3,7.441906728051625
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,sonson,5428,13,3,8.599510233905452
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,turbo,35962,19,5,10.49024591113472
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,urrao,8192,12,4,9.011035410141815
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,yarumal,17448,17,5,9.76703761939823
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,amalfi,3411,14,4,8.13505390861157
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,andes,13849,18,4,9.536040511615484
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,apartado,72189,32,4,11.187056811133207
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,barbosa,5543,18,5,8.620471540869739
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,bello,77300,44,5,11.255462171102444
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,caldas,15459,15,5,9.646011322141414
