departamento_etl,ciudad_etl,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,periodo_censo_vehiculos,total_vehiculos,clases_distintas,antiguedad_promedio_flota,log_total_vehiculos,mes_numerico
antioquia,caucasia,2020-01,,150.3152709359606,53.95073891625616,,,,,,,16.270588235294117,,,,,,29.238423645320196,,0.6945812807881774,2026-04,109832,29,22.423572744014734,11.606716309350618,1
antioquia,caucasia,2021-01,,173.8058394160584,,,,,,,0.0,34.603305785123965,,,,,,29.464233576642336,,0.4335766423357665,2026-04,109832,29,22.423572744014734,11.606716309350618,1
antioquia,caucasia,2022-01,,241.5681818181818,65.83781512605042,,,,,,0.0,40.4,,,,,,28.591666666666665,,0.5781512605042016,2026-04,109832,29,22.423572744014734,11.606716309350618,1
antioquia,caucasia,2023-01,,149.43396226415095,64.10535714285714,,,,,,0.002631578947368421,,,,,,,28.025000000000002,,0.220353982300885,2026-04,109832,29,22.423572744014734,11.606716309350618,1
antioquia,caucasia,2024-01,,180.45789473684212,,75.6842105263158,,,,,,23.203007518796994,,,,,,,29.07313432835821,0.4112781954887218,2026-04,109832,29,22.423572744014734,11.606716309350618,1
antioquia,copacabana,2020-01,,97.48019801980197,65.41837438423646,,,,,641.1432019704433,0.00019704433497536947,25.85,11.919473684210525,,,,,20.976699507389164,,1.9054187192118228,2026-04,23755,34,19.909797822706064,10.075590409135751,1
antioquia,copacabana,2021-01,,86.94160583941606,68.95299270072992,,,,,639.9994160583941,0.00043795620437956203,17.325,10.166165413533834,,,,,20.71883211678832,,1.9124087591240877,2026-04,23755,34,19.909797822706064,10.075590409135751,1
antioquia,copacabana,2022-01,,70.69478991596638,69.40325,,,,,640.152,0.0036666666666666666,27.49,12.937142857142858,,,,,20.669916666666666,,1.537,2026-04,23755,34,19.909797822706064,10.075590409135751,1
antioquia,copacabana,2023-01,,87.30336283185841,67.62245614035088,,,,,641.2169298245614,0.0033628318584070795,24.585,11.388571428571428,,,,,19.965263157894736,,1.5754867256637168,2026-04,23755,34,19.909797822706064,10.075590409135751,1
antioquia,copacabana,2024-01,,73.4860447761194,,65.06992481203007,,,,641.1445864661654,7.462686567164179e-05,51.09,11.959776119402985,,,,,,21.57624060150376,1.5845864661654134,2026-04,23755,34,19.909797822706064,10.075590409135751,1
antioquia,envigado,2020-01,,76.8768472906404,79.38916256157636,,,,,,,,6.48852867830424,,281.2255963302752,,,13.943842364532019,,2.2103448275862068,2026-04,889017,69,24.963817514420555,13.69787276176013,1
antioquia,envigado,2021-01,,58.7464,80.74671532846715,,,2.9060606060606062,,,,,14.735684647302906,,233.16315789473686,,,13.017518248175183,,1.1664233576642336,2026-04,889017,69,24.963817514420555,13.69787276176013,1
antioquia,envigado,2022-01,,133.64583333333334,,,,,,,,,14.194128440366974,,,,,13.585714285714285,,0.6991596638655463,2026-04,889017,69,24.963817514420555,13.69787276176013,1
antioquia,envigado,2023-01,,158.09732142857143,,,,,,,,,12.95095238095238,,,,,11.905357142857143,,0.5666666666666667,2026-04,889017,69,24.963817514420555,13.69787276176013,1
antioquia,envigado,2024-01,,134.60375939849624,,63.35112781954888,,,,,,,14.074302788844621,,,,,,15.748872180451126,0.7654135338345864,2026-04,889017,69,24.963817514420555,13.69787276176013,1
antioquia,girardota,2020-01,296.16682539682535,152.03140495867768,78.48502232142857,,7.772229299363057,19.07,19.49871508379888,646.018962962963,0.020953947368421055,31.08839779005525,12.330459770114942,,,,21.48506756756757,22.0266269165247,,1.5823432343234323,2026-04,22146,32,20.905454545454546,10.005457326119846,1
antioquia,girardota,2021-01,,140.1328413284133,71.5590405904059,,8.335294117647058,21.4108,23.605923076923077,639.8017910447761,0.010218978102189783,23.79824561403509,11.460905349794238,,,,19.18528925619835,20.92269372693727,,1.4510332103321033,2026-04,22146,32,20.905454545454546,10.005457326119846,1
